starting_date,duration,snow,floods,storm,hurricane,rain,cold,hot,comment
2013-12-22,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,DIRK : Première véritable tempête hivernale
2013-11-20,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Premières chutes de neige en plaine de la saison
2013-11-15,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Épisode de fortes pluies
2013-10-26,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Première tempête automnale (Christian)
2013-10-02,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Episode pluvio-orageux automnal très actif
2013-09-28,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Episode pluvieux
2013-07-31,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Nouvel épisode de canicule et d'orages
2013-07-22,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Episode caniculaire et orageux
2013-05-30,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Important épisode pluvieux
2013-05-02,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Episode pluvio-orageux
2013-04-04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Episode neigeux tardif
2013-03-16,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Episode pluvio-neigeux
2013-03-10,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,"Tempête de neige, coup de froid"
2013-03-04,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Episode de vent fort et de pluie abondante
2013-02-25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Episode neigeux étendu 
2013-02-05,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Episode hivernal
2013-02-01,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Pluies abondantes et fort épisode de Mistral & Tramontane
2013-01-13,13.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Episode hivernal perturbé
2012-12-12,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Épisode pluvio/neigeux notable
2012-12-06,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Épisode neigeux significatif
2012-12-01,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Episode hivernal
2012-11-25,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pluie abondante et chutes de neige
2012-11-02,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Fortes précipitations et crues sur le Pas de Calais
2012-10-31,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"Vent fort, intenses précipitations (Var et Corse)"
2012-10-25,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,"Episode pluvio-orageux, offensive hivernale"
2012-10-13,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Episode pluvieux intense et orages violents
2012-09-23,7.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Episode Méditerranéen attendu samedi par l'Espagne 
2012-08-15,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Episode de canicule suivi d'orages
2012-07-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Episode orageux bref mais localement intense
2012-05-19,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Dégradation pluvio-orageuse
2012-04-25,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Fort coup de vent à tempête et précipitations soutenues
2012-04-22,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Coup de vent inhabituel
2012-01-29,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Froid et épisodes neigeux remarquables
2011-12-14,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Forte tempête hivernale Joachim
2011-11-01,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Episode pluvieux exceptionnel
2011-10-23,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°245
2011-09-29,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bulletin Spécial N°244
2011-08-25,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°243
2011-08-22,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°242
2011-08-18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bulletin Spécial N°241
2011-07-18,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°239
2011-07-11,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°238
2011-06-26,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Bulletin Spécial N°237
2011-06-15,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°236
2011-06-04,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°235
2011-05-29,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°234
2011-03-11,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°233
2010-12-22,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°232
2010-12-16,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°231
2010-12-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bulletin Spécial N°230
2010-11-22,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Bulletin Spécial N°229
2010-11-07,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°228
2010-10-29,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°227
2010-10-09,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Bulletin Spécial N°226
2010-09-05,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°225
2010-07-20,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Bulletin Spécial N°221
